gene_name	regulator	sign
yodP	sigE	1
efeN	sigX	1
efeN	sigW	1
efeN	sigM	1
efeN	fur	-1
yqxD	sigH	1
yqxD	sigB	1
yqxD	sigA	1
yqxD	sigD	1
yqxD	spo0A	-1
ykuV	abrB	-1
uvrA	lexA	-1
yheD	sigE	1
yheD	spoIIID	1
ydhK	sigB	1
ydhK	csoR	0
yoeA	sigH	1
nin	comK	1
ycxD	ycxD	0
yqaN	sigK	1
yqaN	sknR	-1
yqzG	sigF	1
yqzG	abrB	-1
yceH	sigX	1
yceH	sigW	1
yceH	sigM	1
yceH	sigB	1
yceH	sigA	1
glgP	sigE	1
glgP	sigH	1
yveA	sigG	1
yveA	sigA	1
yveA	sacY	1
yveA	degU	1
yveA	spoVT	-1
yveA	tenA	1
yveA	sacT	1
ythQ	sigW	1
ywjC	sigB	1
yjmC	sigE	1
yjmC	sigA	1
yjmC	exuR	-1
yjmC	ccpA	-1
yjmC	spoIIID	-1
yqfT	sigE	1
yqfT	spoIIID	1
phrG	sigH	1
phrG	sigA	1
phrG	rghR	-1
phrG	ccpA	-1
phrG	sinR	-1
odhA	sigA	1
odhA	ccpA	-1
nrdE	sigA	1
nrdE	resD	1
nrdE	nrdR	0
pspA	sigW	1
pspA	abrB	-1
yurJ	codY	-1
yurJ	frlR	0
phoB	sigE	1
phoB	sigA	1
phoB	phoP	1
phoB	spoIIID	-1
phoB	gerR	-1
kipA	sigK	1
kipA	tnrA	1
kipA	kipR	-1
yxaL	rok	-1
yxaL	abrB	-1
efeU	sigX	1
efeU	sigW	1
efeU	fur	-1
ytaF	sigE	1
