SMMPr_1,SMMPr_2,SMMPr_3,HiOs_1,HiOs_2,HiOs_3,SMM_1,SMM_2,SMM_3,Salt_1,Salt_2,Salt_3
BSU01040,16.4612,16.4545,16.4736,16.0681,16.0067,16.3316,16.4661,16.4822,16.4902,15.8216,15.9555,15.7401
BSU01050,16.4011,16.3667,16.4635,16.0571,16.0357,16.1996,16.4604,16.4772,16.4291,15.5586,15.4408,15.6387
BSU01060,12.9134,12.8899,13.0474,12.8915,12.6244,12.8518,13.0881,13.1248,12.946,11.7447,11.6765,11.7817
new_121686_121918,15.4506,15.2444,15.6603,16.058,15.8969,16.0612,15.9173,16.101,16.1242,16.2378,15.7997,16.3097
BSU01070,14.8357,14.8763,14.9659,15.1261,14.9595,14.9996,14.9198,14.8985,14.9927,14.8827,14.7439,15.0271
BSU01080,15.1544,15.1745,15.3108,15.3266,15.2405,15.3916,15.1829,15.2449,15.1453,15.1071,15.0118,15.2345
new_129162_129283,15.9758,16.2277,16.2656,16.1249,15.8297,16.2812,16.0294,16.1436,16.1156,15.7219,15.7691,15.808
BSU01090,16.4236,16.4502,16.4187,16.4195,16.3754,16.4404,16.3841,16.4703,16.4617,16.4475,16.419,16.4453
new_129589_129701,16.3881,16.2973,16.362,16.2553,16.2753,16.3952,16.335,16.4477,16.3238,16.4328,16.248,16.4063
BSU01100,16.4173,16.2668,16.2504,16.1136,16.0772,16.0409,16.2545,16.4223,16.3561,16.4035,15.9298,16.1811
BSU01110,16.5025,16.48,16.4779,16.4909,16.4719,16.481,16.4746,16.4872,16.4918,16.4834,16.48,16.4901
BSU01120,16.4668,16.4483,16.4357,16.4582,16.4269,16.4584,16.3998,16.4566,16.4705,16.4556,16.4382,16.4456
new_132763_132881,16.4602,16.4685,16.4203,16.4475,16.4248,16.292,16.4554,16.4735,16.4887,16.4045,16.3192,16.4224
BSU01130,16.0934,16.1831,16.4076,15.7972,16.2981,16.3515,16.2552,16.3823,16.3443,16.2371,15.8698,15.9458
