LBexp_1,LBexp_2,LBexp_3,LBstat_1,LBstat_2,LBstat_3,LBGexp_1,LBGexp_2,LBGexp_3,LBGstat_1,LBGstat_2,LBGstat_3,M9exp_1,M9exp_2,M9exp_3,M9stat_1,M9stat_2,M9stat_3
BSU00770,13.0962,12.8877,12.7615,11.8392,11.5411,11.1349,13.0127,12.6314,12.6728,12.9265,12.493,12.0229,12.6998,12.3928,12.1652,10.1392,10.0523,9.8837
BSU00780,13.4691,13.0309,12.8557,12.1625,12.0894,11.6989,12.8734,12.8243,12.7774,13.162,12.7309,12.2812,13.0801,12.574,12.3931,10.4779,10.4102,10.2998
BSU00790,13.2122,13.0971,12.9419,12.1863,11.7894,11.6779,13.0874,12.6863,12.9445,13.1541,12.6655,12.3485,12.9416,12.7286,12.3776,10.3954,10.1324,9.9873
BSU00800,14.0096,13.4897,13.2641,12.175,11.841,11.6169,13.247,13.6727,13.8725,13.3107,12.722,12.5344,13.6217,13.2184,13.1417,10.422,10.1434,10.0042
BSU00810,14.2438,13.8794,13.6709,12.6205,12.4598,12.1565,14.4569,14.0327,14.2541,13.6371,13.0917,13.147,14.0354,13.6413,13.5667,10.6022,10.3137,10.1272
new_88050_89566_c,7.6031,7.6313,7.7746,7.6986,7.9028,7.7682,7.6342,7.4421,7.6921,7.507,7.2567,7.7577,7.1606,7.1463,6.9948,8.8927,8.1867,7.9101
new_88636_88726,14.6027,14.1944,13.7115,12.8141,12.5191,12.1636,14.5861,14.1177,14.5704,13.5473,13.0713,13.1391,14.1884,13.7302,13.6814,10.3594,10.0786,9.8483
BSU00820,14.3807,14.1189,13.8962,12.7221,12.5117,12.3422,14.337,14.0838,14.5744,13.3333,12.8662,13.0076,14.1374,13.8042,13.69,10.3565,9.9305,9.683
new_90318_90535,16.4732,16.3954,15.8033,12.5933,12.5,12.7824,14.7215,16.4362,16.4118,16.4686,16.4611,15.922,16.276,15.9927,16.0452,12.7431,12.6531,12.3746
new_101212_101289,12.417,12.1167,11.9905,9.6114,9.6744,9.1407,12.3885,9.6331,11.9005,11.4373,11.837,8.8484,9.3537,9.4877,9.3177,8.3726,8.0496,7.7239
BSU00830,14.4778,13.7208,13.5381,12.8004,12.6437,12.2289,12.8622,13.3203,13.141,11.8958,12.1644,11.6783,13.6156,13.2855,12.8666,12.4375,13.8271,13.6698
BSU00840,13.9669,13.2287,13.0821,12.4422,12.145,11.8506,12.8638,12.7432,12.6715,11.3746,11.605,11.2977,12.9976,12.6535,12.2889,11.7282,13.0508,12.8637
BSU00850,14.0345,13.3628,13.2401,12.4089,12.3155,12.2129,12.8642,12.6655,12.7641,11.1717,11.4894,11.3114,13.1229,12.7069,12.2811,11.6622,12.8809,12.7195
BSU00860,14.0071,13.4289,13.2475,13.3845,13.2371,13.1749,12.9214,12.6608,12.8388,11.5231,11.5501,11.5193,13.3265,12.8859,12.4049,12.1406,12.7459,12.613
BSU00870,12.6243,11.9622,11.5356,11.3447,11.2628,11.1172,12.2479,12.6017,11.8629,10.4179,10.6431,9.8408,12.4502,12.0054,11.7467,11.4924,11.9423,11.8285
BSU00880,12.991,12.3806,12.2081,11.8601,11.7082,11.5449,12.5763,12.8618,12.2969,10.9998,11.0472,10.4945,12.7754,12.4055,12.1384,11.6128,12.1699,11.7706
new_108559_108673,13.074,12.7272,12.504,12.3468,12.2771,11.9039,12.5877,12.9772,12.7736,10.9534,11.0221,10.3265,12.8475,12.3284,12.0264,11.7898,12.5724,12.2569
BSU00890,13.2691,13.0772,12.8439,12.827,12.6109,12.6339,13.0491,13.1204,12.9449,12.375,12.1288,12.053,13.5068,13.0649,12.7374,12.6972,13.4886,13.2376
BSU00900,12.973,12.7732,12.6809,12.6683,12.1552,11.9321,12.7402,12.8723,12.9976,12.1231,11.6807,11.9476,13.221,12.7325,12.4356,11.6619,12.3442,12.1291
BSU00910,12.7862,12.3394,12.2442,10.8748,10.5213,10.0467,12.7257,12.2872,12.5181,9.152,9.5299,10.0244,12.4275,11.9249,11.563,9.3187,8.8992,8.733
BSU00920,14.3785,14.3335,14.0448,13.1002,12.694,12.6265,14.3715,14.4279,14.5091,12.8762,12.3794,13.1507,14.1432,13.6843,13.555,10.9361,10.6818,10.5858
