Glu_1,Glu_2,Glu_3,GM-0.1_1,GM-0.2_1,GM+5_1,GM+15_1,GM+25_1,GM+45_1,GM+60_1,GM+90_1,GM+120_1,GM+150_1,GM-0.1_2,GM-0.2_2,GM+5_2,GM+10_2,GM+15_2,GM+25_2,GM+45_2,GM+60_2,GM+90_2,GM+150_2,GM-0.1_3,GM-0.2_3,GM+5_3,GM+10_3,GM+15_3,GM+25_3,GM+45_3,GM+60_3,GM+90_3,GM+120_3,GM+150_3
new_45224_45399_c,10.4855,9.3632,9.65,9.0932,8.2844,9.689,9.8166,10.6098,9.899,9.8415,8.7401,7.2849,8.6268,10.6964,10.6335,10.0369,10.2563,10.4208,11.4294,9.4211,8.8159,9.2983,7.5569,10.2589,10.1498,10.4811,9.5358,10.3312,10.5272,8.9571,8.3502,9.6254,9.174,9.6293
new_45524_45632,13.4555,13.093,13.2717,12.4954,12.7164,12.7866,12.8534,13.4568,13.3506,13.3214,13.6121,12.2249,13.096,13.2022,13.5361,13.0458,13.0149,13.1742,13.5337,12.6718,12.6603,13.066,12.4343,13.3711,12.9277,13.0511,11.8357,13.011,13.0134,12.6962,12.5666,13.4051,12.7533,13.373
BSU00380,13.4304,13.2299,13.3697,12.735,12.7337,12.6438,13.0275,13.6259,13.3389,13.2586,13.3529,12.2268,12.9139,13.3757,13.2761,13.1387,13.0791,12.9764,13.2498,12.4331,12.4197,13.2738,12.42,13.1661,13.0666,13.1487,12.0468,12.8991,12.6626,12.611,12.4073,13.0581,12.8726,12.9919
new_47673_50019_c,10.0452,10.2855,9.9527,8.6113,8.7526,9.0686,8.6476,8.7678,8.9688,8.6007,8.63,8.1549,9.8047,9.8165,9.2599,9.2915,8.7473,8.9471,9.5087,8.4995,8.2874,8.8417,9.3753,9.9075,9.4225,9.5501,8.3624,8.8506,8.5622,8.665,8.6462,8.8789,9.3681,9.3116
BSU00390,11.4458,11.508,11.5405,10.8899,11.0205,10.7759,11.11,11.4373,11.515,11.2998,11.5853,10.5065,10.8126,11.5873,11.7022,11.1182,11.1125,10.9885,11.4021,10.3912,10.5406,11.1878,10.3676,11.2511,11.2043,11.0495,10.0692,10.8106,10.6385,10.3896,10.455,11.157,10.888,11.1544
new_48474_48554,11.4736,11.6449,11.6329,10.8427,10.6572,10.8082,11.1917,11.4365,11.5715,11.3302,11.2682,10.5133,11.2009,11.9198,11.7695,11.1647,10.9951,10.8024,11.6522,10.7788,10.7067,11.6689,10.3262,12.0331,11.6861,11.3623,10.488,10.9842,11.0699,10.4384,10.7633,11.0524,11.298,11.0683
BSU00400,13.8925,13.3886,13.809,13.6942,13.893,13.6894,13.9547,14.4863,14.1043,14.0467,14.1613,13.2212,13.6012,14.067,14.0056,13.715,13.9093,13.9185,14.1764,13.1338,13.1434,14.3337,12.6864,14.1189,14.0474,14.2561,13.1601,14.1833,14.0738,13.5107,13.3323,13.6392,14.1459,13.3708
new_49987_50086,12.4558,12.1909,12.4949,11.4477,11.131,11.4324,12.0147,12.2896,12.6195,12.295,12.5206,10.6795,11.5442,12.2325,12.6852,12.1516,11.8004,11.9336,12.1651,10.5657,10.435,11.6844,10.8427,12.2124,11.7198,11.6477,10.6816,11.9289,10.8835,10.7501,10.4703,12.24,11.1436,12.2179
BSU00410,11.6489,11.6572,11.7113,11.257,11.2979,11.0988,11.6057,11.8204,11.8255,11.6763,11.8829,10.87,11.1168,11.6139,11.5627,11.4102,11.4471,11.3459,11.4798,10.6024,10.6277,11.4837,10.4791,11.178,11.1649,11.3864,10.2688,11.166,10.8098,10.8228,10.5647,11.0515,10.8947,11.166
BSU00420,10.8191,10.8901,11.0318,10.598,10.5998,10.587,10.9134,11.2616,11.2354,11.1528,11.2632,10.2546,10.5312,11.2399,10.718,10.9014,10.8466,10.7802,10.973,10.1838,10.1313,11.1171,9.7593,10.7323,10.7111,10.7302,9.7281,10.5232,10.549,10.4631,10.2833,10.3575,10.7461,10.4559
